ルーム,対戦者,結果
ルーム1: コンピューター82(チョキ) vs コンピューター93(チョキ) - あいこ
ルーム24: コンピューター62(チョキ) vs コンピューター77(チョキ) - あいこ
ルーム24: コンピューター62(チョキ) vs コンピューター77(グー) - 勝者: コンピューター77
ルーム25: コンピューター100(パ―) vs コンピューター49(チョキ) - 勝者: コンピューター49
ルーム26: コンピューター45(パ―) vs コンピューター92(パ―) - あいこ
ルーム26: コンピューター45(チョキ) vs コンピューター92(パ―) - 勝者: コンピューター45
ルーム27: コンピューター18(チョキ) vs コンピューター57(チョキ) - あいこ
ルーム27: コンピューター18(チョキ) vs コンピューター57(チョキ) - あいこ
ルーム27: コンピューター18(パ―) vs コンピューター57(チョキ) - 勝者: コンピューター57
ルーム28: コンピューター98(パ―) vs コンピューター76(チョキ) - 勝者: コンピューター76
ルーム29: コンピューター33(パ―) vs コンピューター25(チョキ) - 勝者: コンピューター25
ルーム30: コンピューター84(グー) vs コンピューター66(グー) - あいこ
ルーム30: コンピューター84(グー) vs コンピューター66(パ―) - 勝者: コンピューター66
ルーム31: コンピューター61(パ―) vs コンピューター17(グー) - 勝者: コンピューター61
ルーム32: コンピューター46(グー) vs コンピューター31(パ―) - 勝者: コンピューター31
ルーム33: コンピューター24(グー) vs コンピューター44(チョキ) - 勝者: コンピューター24
ルーム34: コンピューター91(チョキ) vs コンピューター27(パ―) - 勝者: コンピューター91
ルーム35: コンピューター63(チョキ) vs コンピューター64(パ―) - 勝者: コンピューター63
ルーム36: コンピューター73(チョキ) vs コンピューター81(パ―) - 勝者: コンピューター73
ルーム1: コンピューター72(グー) vs コンピューター13(パ―) - 勝者: コンピューター13
ルーム2: コンピューター1(パ―) vs コンピューター60(チョキ) - 勝者: コンピューター60
ルーム3: コンピューター35(パ―) vs コンピューター42(パ―) - あいこ
ルーム3: コンピューター35(グー) vs コンピューター42(チョキ) - 勝者: コンピューター35
ルーム4: コンピューター41(チョキ) vs コンピューター89(チョキ) - あいこ
ルーム4: コンピューター41(パ―) vs コンピューター89(パ―) - あいこ
ルーム4: コンピューター41(パ―) vs コンピューター89(グー) - 勝者: コンピューター41
ルーム5: コンピューター30(グー) vs コンピューター70(チョキ) - 勝者: コンピューター30
ルーム6: コンピューター85(グー) vs コンピューター90(パ―) - 勝者: コンピューター90
ルーム7: コンピューター95(グー) vs コンピューター87(グー) - あいこ
ルーム7: コンピューター95(グー) vs コンピューター87(チョキ) - 勝者: コンピューター95
ルーム8: コンピューター43(グー) vs コンピューター88(パ―) - 勝者: コンピューター88
ルーム9: コンピューター78(パ―) vs コンピューター97(グー) - 勝者: コンピューター78
ルーム10: コンピューター79(パ―) vs コンピューター16(パ―) - あいこ
ルーム10: コンピューター79(グー) vs コンピューター16(グー) - あいこ
ルーム10: コンピューター79(グー) vs コンピューター16(グー) - あいこ
ルーム10: コンピューター79(グー) vs コンピューター16(グー) - あいこ
ルーム10: コンピューター79(チョキ) vs コンピューター16(チョキ) - あいこ
ルーム10: コンピューター79(チョキ) vs コンピューター16(パ―) - 勝者: コンピューター79
ルーム11: コンピューター51(パ―) vs コンピューター58(グー) - 勝者: コンピューター51
ルーム12: コンピューター40(チョキ) vs コンピューター77(グー) - 勝者: コンピューター77
ルーム13: コンピューター49(チョキ) vs コンピューター45(チョキ) - あいこ
ルーム13: コンピューター49(グー) vs コンピューター45(パ―) - 勝者: コンピューター45
ルーム14: コンピューター57(チョキ) vs コンピューター76(チョキ) - あいこ
ルーム14: コンピューター57(パ―) vs コンピューター76(グー) - 勝者: コンピューター57
ルーム15: コンピューター25(チョキ) vs コンピューター66(パ―) - 勝者: コンピューター25
ルーム16: コンピューター61(パ―) vs コンピューター31(パ―) - あいこ
ルーム16: コンピューター61(グー) vs コンピューター31(チョキ) - 勝者: コンピューター61
ルーム17: コンピューター24(グー) vs コンピューター91(チョキ) - 勝者: コンピューター24
ルーム18: コンピューター63(チョキ) vs コンピューター73(チョキ) - あいこ
ルーム18: コンピューター63(パ―) vs コンピューター73(チョキ) - 勝者: コンピューター73
ルーム19: コンピューター2(グー) vs コンピューター4(チョキ) - 勝者: コンピューター2
ルーム20: コンピューター6(グー) vs コンピューター7(チョキ) - 勝者: コンピューター6
ルーム21: コンピューター8(パ―) vs コンピューター10(パ―) - あいこ
ルーム21: コンピューター8(パ―) vs コンピューター10(グー) - 勝者: コンピューター8
ルーム22: コンピューター11(チョキ) vs コンピューター12(グー) - 勝者: コンピューター12
ルーム23: コンピューター14(グー) vs コンピューター29(グー) - あいこ
ルーム23: コンピューター14(パ―) vs コンピューター29(グー) - 勝者: コンピューター14
ルーム24: コンピューター34(グー) vs コンピューター36(グー) - あいこ
ルーム24: コンピューター34(グー) vs コンピューター36(グー) - あいこ
ルーム24: コンピューター34(パ―) vs コンピューター36(グー) - 勝者: コンピューター34
ルーム25: コンピューター37(チョキ) vs コンピューター38(グー) - 勝者: コンピューター38
ルーム26: コンピューター48(チョキ) vs コンピューター52(パ―) - 勝者: コンピューター48
ルーム27: コンピューター54(グー) vs コンピューター56(グー) - あいこ
ルーム27: コンピューター54(グー) vs コンピューター56(チョキ) - 勝者: コンピューター54
ルーム28: コンピューター65(パ―) vs コンピューター68(チョキ) - 勝者: コンピューター68
ルーム29: コンピューター69(チョキ) vs コンピューター71(チョキ) - あいこ
ルーム29: コンピューター69(グー) vs コンピューター71(チョキ) - 勝者: コンピューター69
ルーム30: コンピューター74(チョキ) vs コンピューター75(グー) - 勝者: コンピューター75
ルーム31: コンピューター82(グー) vs コンピューター93(チョキ) - 勝者: コンピューター82
ルーム32: コンピューター96(チョキ) vs コンピューター99(グー) - 勝者: コンピューター99
ルーム1: コンピューター13(パ―) vs コンピューター60(チョキ) - 勝者: コンピューター60
ルーム2: コンピューター35(グー) vs コンピューター41(パ―) - 勝者: コンピューター41
ルーム3: コンピューター30(グー) vs コンピューター90(パ―) - 勝者: コンピューター90
ルーム4: コンピューター95(グー) vs コンピューター88(パ―) - 勝者: コンピューター88
ルーム5: コンピューター78(パ―) vs コンピューター79(チョキ) - 勝者: コンピューター79
ルーム6: コンピューター51(パ―) vs コンピューター77(グー) - 勝者: コンピューター51
